year,risk_category,risk_label,term,term_source,exact_mentions,jieba_token_count,jieba_weight
2024,profitability,盈利风险,利润,seed,194,100,0.005221
2024,profitability,盈利风险,成本,seed,247,247,0.013153
2024,profitability,盈利风险,亏损,seed,33,33,0.0
2024,profitability,盈利风险,下滑,seed,1,1,0.0
2024,profitability,盈利风险,价格波动,seed,0,0,0.0
2024,profitability,盈利风险,费用,seed,203,193,0.011169
2024,profitability,盈利风险,分配,word2vec,122,114,0.00661
2024,profitability,盈利风险,盈利,word2vec,14,14,0.0
2024,profitability,盈利风险,毛利,word2vec,19,2,0.0
2024,profitability,盈利风险,商品价格,word2vec,0,0,0.0
2024,profitability,盈利风险,成本核算,word2vec,0,0,0.0
2024,profitability,盈利风险,分配比例,word2vec,4,4,0.0
2024,profitability,盈利风险,利润表,word2vec,16,16,0.0
2024,project,项目风险,项目,seed,655,655,0.029462
2024,project,项目风险,工期,seed,3,3,0.0
2024,project,项目风险,质量,seed,86,86,0.004591
2024,project,项目风险,安全,seed,68,43,0.002197
2024,project,项目风险,分包,seed,9,9,0.0
2024,project,项目风险,索赔,seed,8,8,0.0
2024,project,项目风险,PPP,seed,33,0,0.0
2024,project,项目风险,履约,seed,66,66,0.005886
2024,project,项目风险,进度,word2vec,28,27,0.0
2024,project,项目风险,奖励,word2vec,4,4,0.0
2024,project,项目风险,安全隐患,word2vec,0,0,0.0
2024,compliance,合规风险,诉讼,seed,18,18,0.0
2024,compliance,合规风险,仲裁,seed,3,3,0.0
2024,compliance,合规风险,处罚,seed,10,10,0.0
2024,compliance,合规风险,执行,seed,93,93,0.004762
2024,compliance,合规风险,合规,seed,35,35,0.00282
2024,compliance,合规风险,环保,seed,35,35,0.002133
2024,compliance,合规风险,安全生产,seed,24,24,0.002643
2024,compliance,合规风险,纠纷,seed,7,7,0.0
2024,compliance,合规风险,未决,word2vec,7,7,0.0
2024,compliance,合规风险,立案,word2vec,1,1,0.0
2024,compliance,合规风险,整改,word2vec,6,6,0.0
2024,compliance,合规风险,判决,word2vec,4,4,0.0
2024,compliance,合规风险,败诉,word2vec,2,2,0.0
2024,compliance,合规风险,管理体系,word2vec,7,5,0.0
2024,compliance,合规风险,操守,word2vec,1,1,0.0
2024,market,市场风险,市场,seed,104,97,0.002969
2024,market,市场风险,房地产,seed,144,144,0.007229
