year,source_file,line_no,risk_category,risk_label,matched_term,snippet
2024,2024_annual_report.txt,2669,organizational_propagation,组织传导风险,集团,文利民 公司监事会主席；2016 年 8 月至 2018 年 1 月任中国东方电气集团有限公司总会计师、党组成员；2018 年 1 月至 2020 年 9 月任中国南方
2024,2024_annual_report.txt,2670,organizational_propagation,组织传导风险,集团,电网有限责任公司总会计师、党组成员；2020 年 12 月至今任中国航天科技集团有限公司外部董事、中国一重集团有限公司外部董事。2021
2024,2024_annual_report.txt,2671,compliance,合规风险,执行,年 3 月至今任本公司非执行董事。
2024,2024_annual_report.txt,2674,compliance,合规风险,执行,修龙，曾用名修珑，高级工程师，研究员，享受国务院政府特殊津贴专家，现任本公司独立非执行董事，同时任中国绿发投资集团有限
2024,2024_annual_report.txt,2674,market,市场风险,投资,修龙，曾用名修珑，高级工程师，研究员，享受国务院政府特殊津贴专家，现任本公司独立非执行董事，同时任中国绿发投资集团有限
2024,2024_annual_report.txt,2674,organizational_propagation,组织传导风险,集团,修龙，曾用名修珑，高级工程师，研究员，享受国务院政府特殊津贴专家，现任本公司独立非执行董事，同时任中国绿发投资集团有限
2024,2024_annual_report.txt,2676,organizational_propagation,组织传导风险,集团,修 龙 科技集团董事长；2018 年 1 月至 2020 年 7 月任中国建设科技有限公司党委书记、董事长，同时任中国建设科技集团股份有限公司党委书
2024,2024_annual_report.txt,2677,market,市场风险,投资,记、董事长；2016 年至今兼任中国建筑学会理事长。2020 年 11 月至今任中国绿发投资集团有限公司外部董事。2021 年 3 月至今任本公
2024,2024_annual_report.txt,2677,organizational_propagation,组织传导风险,集团,记、董事长；2016 年至今兼任中国建筑学会理事长。2020 年 11 月至今任中国绿发投资集团有限公司外部董事。2021 年 3 月至今任本公
2024,2024_annual_report.txt,2678,compliance,合规风险,执行,司独立非执行董事。
2024,2024_annual_report.txt,2680,compliance,合规风险,执行,孙力实女士，无曾用名/别名，高级经济师，现任本公司独立非执行董事。2005 年 8 月至 2015 年 5 月任中国恒天集团有限公司董事、职
2024,2024_annual_report.txt,2680,organizational_propagation,组织传导风险,集团,孙力实女士，无曾用名/别名，高级经济师，现任本公司独立非执行董事。2005 年 8 月至 2015 年 5 月任中国恒天集团有限公司董事、职
2024,2024_annual_report.txt,2681,organizational_propagation,组织传导风险,集团,工董事、党委副书记、纪委书记、工会主席；2015 年 5 月至 2016 年 8 月任中国建筑材料集团有限公司党委副书记、纪委书记；2016 年 8
2024,2024_annual_report.txt,2683,organizational_propagation,组织传导风险,集团,月至 2022 年 7 月任中国建材集团有限公司党委副书记、职工董事、工会主席；2024 年 6 月至今任中国林业集团有限公司外部董事；2024
2024,2024_annual_report.txt,2684,compliance,合规风险,执行,年 8 月至今任本公司独立非执行董事。
2024,2024_annual_report.txt,2686,compliance,合规风险,执行,屠海鸣，中国香港籍，无曾用名/别名，现任本公司独立非执行董事、全国政协港澳台侨委员会副主任、第十四届全国政协委员，香港新
2024,2024_annual_report.txt,2687,market,市场风险,房地产,时代发展智库主席。1990 年 2 月至今任香港豪都国际有限公司董事长、总经理；1992 年 2 月至今任上海豪都房地产开发经营有限公司董
2024,2024_annual_report.txt,2690,compliance,合规风险,执行,年 8 月至今任本公司独立非执行董事。
2024,2024_annual_report.txt,2702,organizational_propagation,组织传导风险,集团,任中铁五局集团有限公司党委副书记（期间于 2009 年 4 月起兼任中铁五局机械化工程有限责任公司外部董事、副董事长，于 2010 年 12 月
2024,2024_annual_report.txt,2708,organizational_propagation,组织传导风险,集团,月任中铁四局集团有限公司第七工程分公司总会计师；2014 年 8 月至 2020 年 1 月历任中铁六局集团有限公司财务会计部部长、副总会计
2024,2024_annual_report.txt,2713,compliance,合规风险,合规,万明，无曾用名/别名，高级经济师，现任本公司职工代表监事、法律合规部部长。2006 年 12 月至 2008 年 4 月任中铁四局第八工程分公
2024,2024_annual_report.txt,2716,compliance,合规风险,合规,委、党委副书记、纪委书记（保留原职级）；2021 年 5 月至 2021 年 9 月任本公司法律合规部部长。2021 年 9 月至今任本公司职工代表
2024,2024_annual_report.txt,2717,compliance,合规风险,合规,监事、法律合规部部长。
2024,2024_annual_report.txt,2720,organizational_propagation,组织传导风险,集团,力建设集团有限公司筹备组成员、临时党委委员，中国水利水电建设集团公司党委常委，中国水利水电建设股份有限公司总会计师、党
2024,2024_annual_report.txt,2721,organizational_propagation,组织传导风险,集团,委常委；2011 年 8 月至 2011 年 12 月任中国电力建设集团有限公司总会计师，中国水利水电建设集团公司党委常委，中国水利水电建设
2024,2024_annual_report.txt,2722,organizational_propagation,组织传导风险,集团,孙 璀 股份有限公司总会计师、党委常委；2011 年 12 月至 2014 年 2 月任中国电力建设集团有限公司总会计师，中国水利水电建设集团公司党
2024,2024_annual_report.txt,2723,organizational_propagation,组织传导风险,集团,委常委；2014 年 2 月至 2020 年 1 月任中国电力建设集团有限公司党委常委，中国电力建设股份有限公司党委常委、总会计师；2020 年 1
2024,2024_annual_report.txt,2729,market,市场风险,房地产,中国路桥工程有限责任公司副总经理、党委常委，中交房地产集团有限公司董事；2016 年 1 月至 2017 年 2 月任中交房地产集团有限公司
2024,2024_annual_report.txt,2729,organizational_propagation,组织传导风险,集团,中国路桥工程有限责任公司副总经理、党委常委，中交房地产集团有限公司董事；2016 年 1 月至 2017 年 2 月任中交房地产集团有限公司
2024,2024_annual_report.txt,2730,market,市场风险,房地产,董事，中交海外房地产有限公司董事、总经理（法定代表人）、临时党委书记；2017 年 2 月至 2018 年 6 月任中交房地产集团有限公司董
2024,2024_annual_report.txt,2730,market,市场风险,海外,董事，中交海外房地产有限公司董事、总经理（法定代表人）、临时党委书记；2017 年 2 月至 2018 年 6 月任中交房地产集团有限公司董
2024,2024_annual_report.txt,2730,organizational_propagation,组织传导风险,集团,董事，中交海外房地产有限公司董事、总经理（法定代表人）、临时党委书记；2017 年 2 月至 2018 年 6 月任中交房地产集团有限公司董
2024,2024_annual_report.txt,2740,market,市场风险,房地产,事、临时党委委员，中交海外房地产有限公司董事、总经理（法定代表人）、临时党委书记；2018 年 6 月至 2021 年 2 月任本公司副总裁；
2024,2024_annual_report.txt,2740,market,市场风险,海外,事、临时党委委员，中交海外房地产有限公司董事、总经理（法定代表人）、临时党委书记；2018 年 6 月至 2021 年 2 月任本公司副总裁；
2024,2024_annual_report.txt,2746,organizational_propagation,组织传导风险,集团,黄 超 2021 年 8 月至 2024 年 7 月任中铁第一勘察设计院集团有限公司党委书记、董事长；2024 年 7 月至 2025 年 1 月任本公司副总裁，中铁工
2024,2024_annual_report.txt,2750,organizational_propagation,组织传导风险,集团,中铁四局集团第三建设有限公司总经理、党委副书记、副董事长；2014 年 6 月至 2015 年 8 月任中铁四局集团有限公司总经理助理；2015
2024,2024_annual_report.txt,2751,organizational_propagation,组织传导风险,集团,年 8 月至 2016 年 2 月任中铁四局集团有限公司副总经理；2016 年 2 月至 2019 年 12 月任中铁四局集团有限公司副总经理、总法律顾问；
2024,2024_annual_report.txt,2752,compliance,合规风险,环保,2019 年 12 月至 2020 年 1 月任中铁四局集团有限公司副总经理、中国中铁专业化水务环保公司（后为中国铁工投资建设集团有限公司）
2024,2024_annual_report.txt,2752,market,市场风险,投资,2019 年 12 月至 2020 年 1 月任中铁四局集团有限公司副总经理、中国中铁专业化水务环保公司（后为中国铁工投资建设集团有限公司）
2024,2024_annual_report.txt,2752,organizational_propagation,组织传导风险,集团,2019 年 12 月至 2020 年 1 月任中铁四局集团有限公司副总经理、中国中铁专业化水务环保公司（后为中国铁工投资建设集团有限公司）
2024,2024_annual_report.txt,2753,market,市场风险,投资,耿树标 筹备组常务副组长；2020 年 1 月至 2021 年 5 月任中国铁工投资建设集团有限公司总经理、党委副书记、董事；2021 年 5 月至 2022 年 6
2024,2024_annual_report.txt,2753,organizational_propagation,组织传导风险,集团,耿树标 筹备组常务副组长；2020 年 1 月至 2021 年 5 月任中国铁工投资建设集团有限公司总经理、党委副书记、董事；2021 年 5 月至 2022 年 6
2024,2024_annual_report.txt,2754,project,项目风险,质量,月任本公司规划发展部（企业管理实验室）部长（主任）、中铁高质量发展科学研究院有限责任公司总经理、中国中铁“三个转变”研
2024,2024_annual_report.txt,2755,project,项目风险,质量,究院院长；2022 年 6 月任本公司总裁助理、中国中铁股份有限公司规划发展部（企业管理实验室）部长（主任）、中铁高质量发展科学
2024,2024_annual_report.txt,2759,organizational_propagation,组织传导风险,集团,孔遁，无曾用名/别名，正高级工程师，现任本公司党委委员、副总裁、总工程师。2005 年 9 月至 2010 年 11 月任中铁四局集团有限公司
2024,2024_annual_report.txt,2760,organizational_propagation,组织传导风险,集团,孔 遁 副总经理；2010 年 11 月至 2018 年 6 月任中铁上海工程局集团有限公司董事、总经理、党委副书记；2018 年 6 月至 2021 年 4 月任本公
2024,2024_annual_report.txt,2764,organizational_propagation,组织传导风险,集团,马江黔，无曾用名/别名，正高级经济师，现任本公司党委委员、副总裁。2010 年 11 月至 2011 年 8 月任中铁五局集团有限公司党委书记、
2024,2024_annual_report.txt,2765,organizational_propagation,组织传导风险,集团,董事；2011 年 8 月至 2013 年 1 月任中铁五局集团有限公司董事长、党委书记；2013 年 1 月至 2014 年 6 月任中铁六局集团有限公司总经
2024,2024_annual_report.txt,2766,organizational_propagation,组织传导风险,集团,马江黔 理、党委副书记、董事；2014 年 6 月至 2018 年 6 月任中铁六局集团有限公司总经理、党委副书记、副董事长；2018 年 6 月至 2021 年 4
2024,2024_annual_report.txt,2781,market,市场风险,投资,书记；2019 年 6 月至 2020 年 9 月任中铁广州工程局集团有限公司副总经理；2020 年 9 月至 2020 年 12 月任中铁投资集团有限公司（中
2024,2024_annual_report.txt,2781,organizational_propagation,组织传导风险,集团,书记；2019 年 6 月至 2020 年 9 月任中铁广州工程局集团有限公司副总经理；2020 年 9 月至 2020 年 12 月任中铁投资集团有限公司（中
